Institution,Collection Acronym,Colleciton Universally Unique Identifier,Type of Record,Record Universally Unique Identifier,Specimen Barcode,Stamped Accession Number,Kingdom,Class,Order,Family,Species Latin Name,Authority of Species,Collector,Colleciton Date,Notes,habitat,country,State,County,Collection Location,Latitude,Longitude,Elevation
DBG,DBG,,PreservedSpecimen,2c85444f-1b9a-4a49-9dee-f6433856d1eb,DBG-F-010138,10138,Protozoa,Myxomycetes,Physarales,Physaraceae,Physarum pusillum,(Berk. & M.A. Curtis) G. Lister,"Duane H. ""Sam"" Mitchel",3/14/1980,,Grape vine bark,USA,Colorado,Denver County,Denver,39.718342,-104.931815,
DBG,DBG,,PreservedSpecimen,43a12fcf-77fe-407f-a545-2e63a282fdb7,DBG-F-001014,1014,,,,,Wynella silvicola,,Mary Wells,8/7/1966,,Mossy stream side,USA,Colorado,Gunnison County,,,,
DBG,DBG,,PreservedSpecimen,5741614e-5cfb-4c0f-b155-ed5da0fe3a69,DBG-F-010148,10148,,,,,Comatricha nigra,(Pers.) J. Schröt.,Shirley Chapman,4/18/1980,,,USA,Colorado,Clear Creek County,,39.6901,-105.474,
DBG,DBG,,PreservedSpecimen,b0c30a9c-4a5b-4cd4-a29f-69027b278bf9,DBG-F-010149,10149,Fungi,Pezizomycetes,Pezizales,Discinaceae,Gyromitra gigas,(Krombh.) Cooke,"Duane H. ""Sam"" Mitchel",4/23/1980,,Snowbank,USA,Colorado,Douglas County,,39.2946,-105.1555,2134
DBG,DBG,,PreservedSpecimen,73d9ca60-ec71-4ab9-869a-aa4a73905a20,DBG-F-001015,1015,Fungi,Agaricomycetes,Agaricales,Marasmiaceae,Gymnopus dryophilus,(Bull.) Murrill,Mary Wells,8/7/1966,Number of specimens in set: 1,,USA,Colorado,Gunnison County,,38.6501,-106.5623,3018
DBG,DBG,,PreservedSpecimen,d2e9e209-b83e-4bbb-881d-70cf37f70e28,DBG-F-010152,10152,Protozoa,Myxomycetes,Physarales,Physaraceae,Physarum albescens,T. Macbr.,"Duane H. ""Sam"" Mitchel",4/23/1980,,Snowbank,USA,Colorado,Douglas County,,39.385267,-105.022763,
DBG,DBG,,PreservedSpecimen,6df32aba-ad7a-44ef-9f93-d3ff46ac79ea,DBG-F-010157,10157,Protozoa,Myxomycetes,Stemonitales,Stemonitidaceae,Lamproderma atrosporum,Meyl.,"Duane H. ""Sam"" Mitchel",,,,USA,Colorado,Douglas County,,39.385267,-105.022763,
DBG,DBG,,PreservedSpecimen,d5faaba6-fb8d-4e91-9d19-1478403c37e8,DBG-F-001016,1016,Fungi,Agaricomycetes,Agaricales,Inocybaceae,Inocybe,(Fr.) Fr.,Mary Wells,8/7/1966,Number of specimens in set: 1,On mossy ground in lodgepole debris,USA,Colorado,Gunnison County,,,,3048
DBG,DBG,,PreservedSpecimen,1edbf579-f815-43fe-895d-2d1b72be5932,DBG-F-010168,10168,,,,,Lamproderma maculatum,Kowalski,Iris Nilsen,4/15/1980,,Snowbank,USA,Colorado,Archuleta County,,37.2703,-107.0109,2316
DBG,DBG,,PreservedSpecimen,24d55bbf-a9f2-4997-8d0f-575d2fd19246,DBG-F-010169,10169,,,,,Lamproderma maculatum,Kowalski,Iris Nilsen,4/15/1980,,Snowbank,USA,Colorado,Archuleta County,,37.2703,-107.0109,2316
RAL,,,,,,,,,,,,,,,,,,,,,,,
