id,institutionCode,collectionCode,ownerInstitutionCode,collectionID,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,reproductiveCondition,establishmentMeans,lifeStage,sex,individualCount,preparations,country,stateProvince,county,municipality,locality,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,rights,rightsHolder,accessRights,recordId,references
3263363,DBG,KHD,,ca77be98-2a59-4aa9-bfc1-5ea615f2e6b7,PreservedSpecimen,94eb5304-d0d7-42bc-a92a-48a230053888,KHD00047024,50724,Plantae,Magnoliophyta,,Poales,Cyperaceae,Carex aquatilis,1044,Wahlenb.,Carex,aquatilis,,,,,,,,,,Janet L. Wingate; Pam Regensberg; Mike Gellner,9191,7/25/2011,2011,7,25,206,,,"Glaucous leaf tips, abundant",Edge of small pool in Sedge/willow wetland,,,,,Carex saxatilis,,,,,,,USA,Colorado,Clear Creek,,"Guanella Pass area, ca. 7.5 air miles S of Georgetown, 0.25 mile NW of Bierstadt Trail Head and Guanella Pass parking lot",,39.598782,-105.713985,NAD83,,13S 0438699E 4383471N,,,,,,3550,,,,,11639ft,,,JWingate,4/10/2018 15:54,http://creativecommons.org/publicdomain/zero/1.0/,Public Domain,Public Domain,urn:uuid:94eb5304-d0d7-42bc-a92a-48a230053888,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=3263363
3282902,DBG,KHD,,ca77be98-2a59-4aa9-bfc1-5ea615f2e6b7,PreservedSpecimen,62e76498-5a41-4bfe-a442-faff0976f2fa,KHD00047026,50726,Plantae,Magnoliophyta,,Poales,Cyperaceae,Carex aquatilis,1044,Wahlenb.,Carex,aquatilis,,,,,,,,,,Janet L. Wingate; Pam Regensberg; Mike Gellner,9196,7/25/2011,2011,7,25,206,,,,Opening in sedge/willow wetland,,,,,Carex scopulorum; Deschampsia caespitosa; Bistorta bistortoides,,,,,,,USA,Colorado,Clear Creek,,"Guanella Pass area, ca. 7.5 air miles S of Georgetown, 0.25 mile NW of Bierstadt Trail Head and Guanella Pass parking lot",,39.598782,-105.713985,NAD83,,13S 0438699E 4383471N,,,,,,3550,,,,,11639ft,,,JWingate,4/10/2018 15:54,http://creativecommons.org/publicdomain/zero/1.0/,Public Domain,Public Domain,urn:uuid:62e76498-5a41-4bfe-a442-faff0976f2fa,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=3282902
3354180,DBG,KHD,,ca77be98-2a59-4aa9-bfc1-5ea615f2e6b7,PreservedSpecimen,12619d8e-fb53-47e1-8c98-62c7048e8ddf,KHD00029733,51115,Plantae,Magnoliophyta,,Poales,Cyperaceae,Carex aquatilis,1044,Wahlenb.,Carex,aquatilis,,,,,,,,,,Janet L. Wingate; John F. Gay,9569,8/2/2012,2012,8,2,215,,,,Common along Creek.,,,,,Calamagrostis canadensis; Carex nova; grasses and willows.,,,,,,,USA,Colorado,Clear Creek,,"Arapaho National Forest, Straight Creek N of W entrance to Eisenhower Memorial Tunnel.",,39.684091,-105.93258,NAD83,,13S 0420029E 4393111N,,,,,,3470,,,,,11385 ft,,,JWingate,4/10/2018 15:54,http://creativecommons.org/publicdomain/zero/1.0/,Public Domain,Public Domain,urn:uuid:12619d8e-fb53-47e1-8c98-62c7048e8ddf,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=3354180
3354221,DBG,KHD,,ca77be98-2a59-4aa9-bfc1-5ea615f2e6b7,PreservedSpecimen,0fe0b389-0902-433b-a018-82fb4e8d9049,KHD00029721,51127,Plantae,Magnoliophyta,,Poales,Cyperaceae,Carex aquatilis,1044,Wahlenb.,Carex,aquatilis,,,,,,,,,,Janet L. Wingate; John F. Gay,9582,8/2/2012,2012,8,2,215,,,Abundant.,Open area by streamlet and willows.; Wet soil.,,,,,Juncus mertensianus; Carex nova; mosses.,,,,,,,USA,Colorado,Clear Creek,,"Arapaho National Forest, Straight Creek N of W entrance to Eisenhower Memorial Tunnel.",,39.685122,-105.932174,NAD83,,13S 0420065E 4393225N,,,,,,3465,,,,,11367 ft,,,JWingate,4/10/2018 15:54,http://creativecommons.org/publicdomain/zero/1.0/,Public Domain,Public Domain,urn:uuid:0fe0b389-0902-433b-a018-82fb4e8d9049,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=3354221
7758409,DBG,KHD,,ca77be98-2a59-4aa9-bfc1-5ea615f2e6b7,PreservedSpecimen,7d9e321e-9513-475e-88a5-1f82d0a7dbf8,KHD00061352,,Plantae,Magnoliophyta,,Poales,Cyperaceae,Carex aquatilis,1044,Wahlenb.,Carex,aquatilis,,,,,,,,,,Janet L. Wingate; John F. Gay,10446,7/3/2015,2015,6,27,178,,,Glaucous leaf tips. Dominant sedge. Immature.,Spruce/fir subalpine forest.,,,,,Salix wolfii; Salix monticola; Deschampsia brevifolia.,Fruit,,,,,,USA,Colorado,Garfield,,"White River National Forest, Deep Lake, Forest Road 6003G, approx. 16 air miles N or Glenwood Springs.",,39.77346,-107.29654,WGS84,,,,,,,,3237,,,,,10485 ft.,,,Jwingate,4/3/2017 13:56,http://creativecommons.org/publicdomain/zero/1.0/,Public Domain,Public Domain,urn:uuid:7d9e321e-9513-475e-88a5-1f82d0a7dbf8,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=7758409
3356629,DBG,KHD,,ca77be98-2a59-4aa9-bfc1-5ea615f2e6b7,PreservedSpecimen,3a2ee2a1-1748-4188-850f-d597ec66b8f0,KHD00046441,51537,Plantae,Magnoliophyta,,Poales,Cyperaceae,Carex aquatilis,1044,Wahlenb.,Carex,aquatilis,,,,,,,,,,Janet L. Wingate; John F. Gay,9604,8/5/2012,2012,8,12,225,,,Dominant sedge.,Wetland/meadow.,,,,,Carex utriculata; Carex praeceptorum.,,,,,,,USA,Colorado,Clear Creek,,"Arapaho National Forest, Co Rd 202 to Jones Pass, W of Empire, SW of Berthoud Pass.",,39.779174,-105.863926,NAD83,,13S 0426018E 4403605N,,,,,,3311,,,,,10862 ft,,,jwingate,4/10/2018 15:54,http://creativecommons.org/publicdomain/zero/1.0/,Public Domain,Public Domain,urn:uuid:3a2ee2a1-1748-4188-850f-d597ec66b8f0,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=3356629
7756071,DBG,KHD,,ca77be98-2a59-4aa9-bfc1-5ea615f2e6b7,PreservedSpecimen,b23886cf-b13b-46e3-9991-346b8961b8f0,KHD00061282,,Plantae,Magnoliophyta,,Poales,Cyperaceae,Carex aquatilis,1044,Wahlenb.,Carex,aquatilis,,,,,,,,,,Janet L. Wingate; John F. Gay,10375,6/27/2015,2015,6,26,177,,,Rhizomatous.,Lakeshore.,,,,,Salix brachycarpa; Carex pachystachya.,Fruit,,,,,,USA,Colorado,Summit,,"White River National Forest, Forest Service Rd 1725, Cataract Lake. Approximately 2 air miles S of Heeney and Green Mountain Reservoir.",,39.83372,-106.31972,WGS84,,,,,,,,2642,,,,,8667 ft.,,,Jwingate,4/3/2017 13:56,http://creativecommons.org/publicdomain/zero/1.0/,Public Domain,Public Domain,urn:uuid:b23886cf-b13b-46e3-9991-346b8961b8f0,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=7756071
3826346,DBG,KHD,,ca77be98-2a59-4aa9-bfc1-5ea615f2e6b7,PreservedSpecimen,778785c2-7c72-41b2-ab4a-6f3d3409b057,,,Plantae,Magnoliophyta,,Poales,Cyperaceae,Carex aquatilis,1044,Wahlenb.,Carex,aquatilis,,,,,,,,,,Janet L. Wingate; John F. Gay,9704,7/10/2013,2013,7,13,194,,,Glaucous leaves.,"Near seep running into road ditch; spruce/fir forest.; Edge of water, wet soil.",,,,,Moss.,,,,,,,USA,Colorado,Summit,,Arapaho National Forest; W of Green Mountain Reservoir; SE of Sheep Mountain; FS Road 1830.,,39.861778,-106.41025,WGS84,,13S 0378285E 4412691N; 39° 51' 42.4'' N 106° 24' 36.9'' W,,,,,,3130,,,,,10269 ft,,,Jwingate,4/10/2018 15:54,http://creativecommons.org/publicdomain/zero/1.0/,Public Domain,Public Domain,urn:uuid:778785c2-7c72-41b2-ab4a-6f3d3409b057,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=3826346
5767190,DBG,KHD,,ca77be98-2a59-4aa9-bfc1-5ea615f2e6b7,PreservedSpecimen,addd2137-69b7-4322-82db-bb1348339c12,KHD00060058,56155,Plantae,Magnoliophyta,,Poales,Cyperaceae,Carex aquatilis,1044,Wahlenb.,Carex,aquatilis,,,,,,,,,,Janet L. Wingate,9239,8/10/2011,2011,8,10,222,,,"All spikes slender, nodding. Immature.","Growing at edge of lake, among rocks.; Saturated soil and water.",,,,,,,,,,,,USA,Colorado,Boulder,,"Indian Peaks Wilderness, Brainard Lake, spillway by bridge.",,40.078284,-105.572363,NAD83,,13S 0451199E 4436603N,,,,,,3156,,,,,10355 ft,,,Jwingate,4/10/2018 15:54,http://creativecommons.org/publicdomain/zero/1.0/,Public Domain,Public Domain,urn:uuid:addd2137-69b7-4322-82db-bb1348339c12,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=5767190
5767191,DBG,KHD,,ca77be98-2a59-4aa9-bfc1-5ea615f2e6b7,PreservedSpecimen,2e9f28f3-84be-496d-87c9-79c1a8702965,KHD00060057,56156,Plantae,Magnoliophyta,,Poales,Cyperaceae,Carex aquatilis,1044,Wahlenb.,Carex,aquatilis,,,,,,,,,,Janet L. Wingate,9242,8/10/2011,2011,8,10,222,,,Abundant.,Shore line.; Saturated soil and water.,,,,,,,,,,,,USA,Colorado,Boulder,,"Indian Peaks Wilderness, Red Rocks Lake.",,40.082548,-105.541973,NAD83,,13S 0453793E 4437060N,,,,,,3156,,,,,10242 ft,,,Jwingate,4/10/2018 15:54,http://creativecommons.org/publicdomain/zero/1.0/,Public Domain,Public Domain,urn:uuid:2e9f28f3-84be-496d-87c9-79c1a8702965,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=5767191
